policy,seed,logdet_cov,alpha_rmse,holdout_torque_rmse,sigma_eff,ee_error_mean,ee_error_max,tracking_rmse,fault,max_abs_qd,peak_abs_tau,sum_sq_qdd_ref
fourier_nullspace,5,-128.28722580686545,0.059798369913155465,0.18069471601671647,0.2767837891719877,0.020123156201237547,0.02699883083836828,0.03817893500568128,False,0.49631926141398713,57.483711363352555,14856.143715605775
free_reference,6,-112.92965053928151,0.10732338803235464,0.8639108337329324,0.43789961472226646,nan,nan,0.01264802624959062,False,1.2154035543534472,64.86530526705857,7256.993195934562
no_exploration,6,-80.60053365388163,0.08457861391338958,0.8752597316602433,0.07186735079502798,0.009399143053175608,0.010515608756307077,0.014206839642066772,False,0.08576944496359284,51.59081818815344,0.0
smooth_random_nullspace,6,-72.7199106551617,0.05643809576253504,0.5382314307876402,1.0203106884335569,0.009616779974258418,0.01133843536519967,0.014481139296011766,False,0.09051412654864789,62.882556337807465,5579.097046545491
fourier_nullspace,6,-123.22579765267305,0.03758120531341544,0.2379382166010515,0.2874633680900288,0.010238605324767114,0.014168224459403635,0.015196117983084704,False,0.48309162661554306,56.99258085059657,3379.6435357760006
free_reference,7,-116.98896482610152,0.06793344459582983,0.4588302122400531,0.5315710255366796,nan,nan,0.022488053443812286,False,1.2558961031539133,76.51316916742704,6565.262081777926
no_exploration,7,-88.98031086072793,0.13471013467964568,2.1601136708123336,0.15958109811683213,0.014159647374688446,0.017505092828065425,0.02115265461343707,False,0.12433683347722793,49.27756303189259,0.0
smooth_random_nullspace,7,-79.07529384609347,0.11198170587033594,0.5298010157105397,0.78425884848622,0.013691966421793518,0.01688793802376768,0.020177844424601073,False,0.15362860684064297,58.005853409665896,5174.016873059179
fourier_nullspace,7,-125.68710131536605,0.03724589579536064,0.22965748192401647,0.30892155254142145,0.013797028192156731,0.02254184118774844,0.02019146317568786,False,0.7525447393932723,58.4303595888341,9729.610128142107
free_reference,8,-125.82150156236494,0.06247598524870804,0.6696939845665323,0.3013920178132068,nan,nan,0.009773638867148448,False,0.9055925393678596,83.99897584185436,4891.043774679498
no_exploration,8,-78.16131602896384,0.16635861991134887,6.336835069519402,0.08285862586721449,0.004535317602989084,0.0067854219012739485,0.006355965701841325,False,0.07810369123049586,49.2564823638597,0.0
smooth_random_nullspace,8,-73.62571608122738,0.08901640709473917,0.37103053993134544,0.9408267500985626,0.00585884144417648,0.008850862237975623,0.006962427774362083,False,0.1246531262759463,59.346842090162525,5518.833219487985
fourier_nullspace,8,-127.68836786766349,0.05341259598296743,0.18345349541854714,0.28332975093745155,0.005903688294527907,0.01160878419882273,0.01007698868477975,False,0.515459063160013,54.736308081857025,16799.16778240515
free_reference,9,-123.87149279346518,0.04955089737816834,0.22839985564507873,0.43166295154078205,nan,nan,0.028480105872408727,False,1.3227728071190052,103.30605492098566,7295.545676147932
no_exploration,9,-77.16338809663652,0.12192772638286943,2.4009973057709306,0.1383519366950852,0.008558938851262785,0.009743395744231649,0.013215176321358265,False,0.07338385710142696,49.85404525291776,0.0
smooth_random_nullspace,9,-69.63293294707394,0.09857829896817262,0.6813332325202426,1.1636201777393451,0.007635234376777345,0.00940491495982074,0.012854298511718073,False,0.08555697756660433,59.0869569014768,6502.106778152285
