config,policy,seed,logdet_cov,trace_cov,alpha_rmse,holdout_torque_rmse,validation_torque_rmse,fault,tracking_rmse,saturation_fraction,max_abs_q,max_abs_qd,peak_abs_tau,sigma_eff
horizontal,hold_sequence,7,-71.61337044009822,0.00526660816800394,0.17487788397853166,0.35924321506741996,0.1147628332667418,False,0.0008378992838275477,0.0,0.3967382930204326,0.36729522234926065,8.995449975865437,0.07661340829321496
horizontal,smooth_random,7,-81.72918704109287,0.0003668718349998456,0.01791039759763596,0.03927758716315599,0.07756758946100512,False,0.0013987114826039722,0.0,1.217617229975723,0.8649594168431622,8.036888353882832,0.07393626156254507
horizontal,fourier_envelope,7,-87.33529259764056,7.910795508799396e-05,0.0037310893313315563,0.008858333956861532,0.07866097239890688,False,0.0012782169929643824,0.0,3.0368232474704806,2.0012112058052924,4.2829645023355845,0.06626867705193025
horizontal,segment_fim_greedy,7,-85.20887649184301,0.00030499014588201555,0.04417323505491921,0.07528203874523755,0.07726706858452961,False,0.0013489492288160832,0.0,1.5910575322691292,0.8292627778750934,9.721267802112694,0.07286432343564052
horizontal,segment_active_ig,7,-83.69095911504178,0.00031223050025311105,0.03614486848249003,0.06825387749677768,0.07728418678557335,False,0.0014956965902362352,0.0,1.0854406336345888,0.9546309979821134,10.308652463607796,0.07725790549500863
horizontal,hold_sequence,8,-70.67730923675319,0.005937878007284119,0.11887223651297417,0.24843886689319106,0.09674547177123302,False,0.0005742295032828996,0.0,0.3454068337732283,0.3739051100745743,8.953766109261762,0.0763413065727751
horizontal,smooth_random,8,-78.04468496862388,0.0007571546482175423,0.044948630469120544,0.08700853635394347,0.0770982866361088,False,0.0013384761387758486,0.0,0.8835827535297802,0.7544038789226304,8.004703205287333,0.07761252154255693
horizontal,fourier_envelope,8,-86.8173506756506,6.453054320833992e-05,0.002415618182562154,0.013475830134073103,0.07981642936081164,False,0.0014174400406932498,0.0,3.1409801277639455,1.9222761828014758,3.07492619191299,0.05731046779876494
horizontal,segment_fim_greedy,8,-86.68953637312376,0.00018486162275373547,0.026132317532460037,0.052184513074550444,0.07672984237707137,False,0.0021032104605901206,0.0,1.5750684868866944,1.1101101046111161,12.530673381142597,0.06790992339632182
horizontal,segment_active_ig,8,-84.82026599269304,0.0002758881311612769,0.0267557791492351,0.055069450090729,0.07673889674721733,False,0.0020812589485024054,0.0,1.4160829727820654,0.9339937266885714,9.963418193545605,0.0726156691267989
horizontal,hold_sequence,9,-72.19021693945786,0.004707744531380109,0.2059017243598008,0.4155949841783837,0.12322435246554339,False,0.001053089842671951,0.0,0.360752396802202,0.3923988460635931,10.865740759027982,0.07898721977066808
