cal,calibration_alpha_rmse,failure,fault,feasibility_risk_ext,feasibility_risk_ext_est,feasibility_risk_tau_only,hold_ee_error,horizon,rho_tau,rho_vel,seed,target,torque
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,41,far,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,42,far,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,43,far,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,44,far,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,45,far,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,46,far,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,47,far,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,48,far,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,49,far,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,0,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,1,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,2,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,3,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,4,near,loose
