cal,calibration_alpha_rmse,diverged,failure,fault,feasibility_risk_ext,feasibility_risk_ext_est,feasibility_risk_tau_only,hold_error,hold_velocity,holdout_torque_rmse,horizon,pin_shift,rho_tau,rho_tau_est,rho_vel,saturation_fraction,seed,target,torque
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,31,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,32,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,33,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,34,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,35,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,36,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,37,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,38,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,39,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,40,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,41,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,42,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,43,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,44,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,45,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,46,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,47,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,48,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,49,far,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,0,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,1,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,2,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,3,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,4,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,5,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,6,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,7,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,8,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,9,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,10,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,11,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,12,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,13,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,14,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,15,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,16,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,17,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,18,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,19,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,20,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,21,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,22,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,23,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,24,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,25,wide,loose
cal0,0.0,False,True,True,1.3541666666666665,1.3541666666666665,0.7387351871961503,inf,inf,0.0,normal,False,0.7387351871961503,0.7387351871961503,1.3541666666666665,0.0,26,wide,loose
